"nationality","count","age","overall","potential","pac","sho","pas","dri","def","phy","longitude","latitude"
"Kazakhstan","3","26.0000","66.3333","68.3333","67.6667","51.3333","64.3333","65.0000","56.6667","60.3333","68","48"
"Kenya","7","26.5714","67.8571","72.2857","65.8571","54.4286","55.1429","60.7143","53.4286","74.7143","38","1"
"Kosovo","32","23.9375","66.4688","72.3438","70.5625","58.7188","59.3750","67.0000","41.1250","62.8125","21.1667","42.6667"
"Kuwait","2","27.5000","66.0000","68.0000","60.0000","39.0000","53.5000","51.5000","63.0000","65.0000","45.75","29.5"
"Kyrgyzstan","1","28.0000","58.0000","58.0000","62.0000","57.0000","46.0000","51.0000","18.0000","61.0000","75","41"
"Latvia","6","28.0000","66.5000","68.5000","70.5000","58.0000","58.1667","64.1667","41.3333","68.3333","25","57"
"Lebanon","5","22.8000","62.6000","67.6000","69.0000","60.0000","54.8000","64.0000","28.4000","59.2000","35.8333","33.8333"
"Liberia","2","21.5000","64.0000","72.0000","78.5000","63.5000","48.0000","61.0000","35.5000","61.0000","-9.5","6.5"
"Libya","2","24.0000","67.5000","72.5000","77.0000","59.0000","61.0000","72.5000","34.5000","58.0000","17","25"
"Liechtenstein","3","23.6667","65.3333","72.0000","68.6667","52.6667","56.6667","64.0000","48.3333","68.6667","9.53333","47.2667"
"Lithuania","12","24.5000","64.1667","69.2500","63.5833","56.0000","56.0000","62.1667","37.4167","65.0833","24","56"
"Luxembourg","8","23.1250","66.2500","72.7500","58.8750","47.6250","56.2500","58.6250","56.2500","66.1250","6.16667","49.75"
"Macedonia","20","23.9500","66.2500","72.2500","68.1500","59.3000","58.4000","66.7500","39.9000","62.0000","22","41.8333"
"Madagascar","6","26.6667","65.8333","68.1667","76.8333","53.6667","57.5000","61.8333","40.8333","61.3333","47","-20"
"Mali","47","24.2128","67.4894","72.8085","71.2340","53.5106","58.1702","64.7234","51.5532","66.9362","-4","17"
"Malta","4","22.7500","59.2500","69.0000","68.2500","44.5000","48.7500","60.5000","40.5000","56.0000","14.5833","35.8333"
"Mauritania","2","25.0000","66.5000","70.5000","58.0000","33.5000","50.0000","49.5000","64.5000","74.0000","-12","20"
"Mauritius","1","28.0000","67.0000","67.0000","70.0000","53.0000","68.0000","70.0000","57.0000","65.0000","57.55","-20.2833"
"Mexico","361","24.9086","65.7119","70.7313","67.3407","54.1745","58.6676","63.0388","51.4377","62.2742","-102","23"
"Moldova","6","26.5000","69.6667","73.3333","62.3333","46.3333","57.3333","56.5000","69.8333","72.8333","29","47"
"Montenegro","26","24.6538","68.1923","73.2308","66.7308","56.0000","57.9231","62.9615","48.4231","68.1154","19.3","42.5"
"Montserrat","4","24.5000","64.7500","69.2500","70.0000","49.2500","52.7500","56.0000","55.2500","68.2500","-62.2","16.75"
"Morocco","80","24.6875","69.6750","74.3000","70.7750","59.1500","62.0375","69.3875","45.8125","62.9750","-5","32"
"Mozambique","3","26.3333","72.3333","75.0000","71.0000","50.3333","58.0000","66.0000","61.0000","67.0000","35","-18.25"
"Namibia","2","22.5000","64.5000","72.5000","75.5000","46.0000","55.0000","63.0000","51.0000","63.5000","17","-22"
"Netherlands","430","23.9465","67.9791","73.4256","67.4302","55.6907","60.2907","65.0535","50.8302","66.0000","5.75","52.5"
"New Caledonia","2","28.5000","68.5000","68.5000","66.0000","48.5000","57.5000","56.0000","50.5000","74.5000","165.5","-21.5"
"New Zealand","38","24.4211","61.8684","67.5526","67.0263","49.4737","52.7105","58.1842","45.6053","61.5789","174","-41"
"Niger","3","26.0000","68.3333","70.3333","72.0000","62.0000","57.0000","63.3333","40.0000","74.0000","8","16"
"Nigeria","129","23.3721","66.6434","73.0775","74.5891","56.4651","54.1938","64.3411","42.2326","67.4651","8","10"
"North Korea","6","25.5000","62.5000","69.6667","64.3333","60.3333","56.5000","63.5000","33.8333","57.5000","127","40"
"Northern Ireland","87","25.4828","62.6207","67.5057","65.2644","49.6322","54.0000","58.8966","49.1149","64.1149","-6.49231","54.7877"
"Norway","331","23.9970","63.0151","69.1843","66.7341","52.5680","54.9275","60.1118","47.9940","64.2296","10","62"
"Oman","1","35.0000","73.0000","73.0000","75.0000","59.0000","72.0000","78.0000","49.0000","72.0000","57","21"
"Palestine","4","25.0000","63.5000","68.0000","70.0000","58.2500","51.5000","62.5000","27.7500","67.2500","35.2","31.9"
"Panama","16","25.8125","65.8125","69.4375","66.0625","51.1875","52.1875","58.2500","50.3125","68.8125","-80","9"
"Paraguay","72","26.4028","69.8472","73.2500","69.0833","58.5833","59.1806","65.4167","48.8611","67.1806","-58","-23"
"Peru","29","25.5172","69.1379","72.6897","69.5517","56.8966","60.5862","66.0345","50.5172","63.9310","-76","-10"
